,Position,Track Name,Artist,Streams,URL,date
0,1,Starboy,The Weeknd,25734078,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01
1,2,Closer,The Chainsmokers,23519705,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01
2,3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,21216399,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01
3,4,Let Me Love You,DJ Snake,19852704,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01
4,5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,18316326,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-01
5,6,Don't Wanna Know,Maroon 5,18064374,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01
6,7,Fake Love,Drake,17037036,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-01
7,8,Say You Won't Let Go,James Arthur,16950854,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01
8,9,24K Magic,Bruno Mars,16736035,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-01
9,10,I Feel It Coming,The Weeknd,16609685,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-01
10,11,Black Beatles,Rae Sremmurd,16130702,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-01
11,12,One Dance,Drake,15958402,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01
12,13,Chantaje (feat. Maluma),Shakira,14458068,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01
13,14,Cold Water (feat. Justin Bieber & MØ),Major Lazer,14278458,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-01
14,15,Call On Me - Ryan Riback Extended Remix,Starley,14030444,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-01
15,16,In the Name of Love,Martin Garrix,13936848,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-01
16,17,Bad and Boujee (feat. Lil Uzi Vert),Migos,13030993,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2017-01-01
17,18,Side To Side,Ariana Grande,12802756,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-01-01
18,19,Just Hold On,Steve Aoki,12713391,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-01
19,20,Starving,Hailee Steinfeld,11678776,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-01
20,21,Bad Things (with Camila Cabello),Machine Gun Kelly,11496707,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-01-01
21,22,Mercy,Shawn Mendes,11257008,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2017-01-01
22,23,My Way,Calvin Harris,11099145,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,2017-01-01
23,24,All We Know (feat. Phoebe Ryan),The Chainsmokers,11002831,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-01
24,25,Don't Let Me Down,The Chainsmokers,10662121,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,2017-01-01
25,26,Treat You Better,Shawn Mendes,10655487,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2017-01-01
26,27,Heathens,Twenty One Pilots,10591337,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2017-01-01
27,28,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,10147451,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,2017-01-01
